# Example Current-Voltage Measurements
# Membraneless Electrolyzer Experimental Data
# Date: 2024-01-15
# Temperature: 25°C (298.15 K)
# Electrolyte: 1 M NaCl, pH 7.0
# Electrode material: Carbon felt
# Active area: 10 cm²

voltage_V,current_density_A_m2,current_A,uncertainty_A,notes
1.0,0.5,0.0005,0.00005,Below decomposition voltage
1.1,2.1,0.0021,0.0002,Onset of electrolysis
1.2,5.8,0.0058,0.0003,Linear region begins
1.3,12.4,0.0124,0.0005,
1.4,22.1,0.0221,0.0008,
1.5,35.6,0.0356,0.0012,Mass transport effects visible
1.6,52.8,0.0528,0.0018,
1.7,73.2,0.0732,0.0025,
1.8,97.1,0.0971,0.0033,
1.9,124.8,0.1248,0.0042,
2.0,156.3,0.1563,0.0053,
2.1,191.7,0.1917,0.0065,
2.2,230.9,0.2309,0.0078,
2.3,274.1,0.2741,0.0093,
2.4,321.3,0.3213,0.0109,
2.5,372.6,0.3726,0.0126,Mass transport limitations
